b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),psi,b/h,L/h,axial_flag,section_family
100.0,100.0,50.0,0.52,0.0,244.0,18.0,200.0,0.0,0.0,239.0,0.5,192.3076923076923,7691.468302641344,250.24186866686154,49.48,0.7984731344714575,1.0,0.44102990736824166,3.937498884620769,8.044555701515433,0.09095469140906279,0.0,0.0,0.0,199.5054454022584,1.1979622887892087,1.0,2.0,axial,circular
100.0,100.0,50.0,0.52,0.0,244.0,37.4,200.0,0.0,0.0,396.0,0.5,192.3076923076923,7691.468302641344,250.24186866686154,49.48,0.7984731344714575,1.0,0.21226038322535695,3.937498884620769,8.044555701515433,0.10736648788793893,0.0,0.0,0.0,348.7199304735005,1.1355817818106968,1.0,2.0,axial,circular
165.2,165.2,82.6,4.17,0.0,358.7,40.9,660.8,0.0,0.0,1594.0,0.5,39.616306954436446,19324.76862012475,3192.841126918456,78.42999999999999,6.231548507645073,1.0,1.44900897317552,28.500018483900135,16.399331430052317,0.20980697484892913,0.0,0.0,0.0,1935.6551487887523,0.8234937927850707,1.0,4.0,axial,circular
76.0,76.0,38.0,2.2,0.0,390.0,57.0,266.0,0.0,0.0,470.0,0.5,34.54545454545454,4026.390808546822,769.4510167631613,35.8,3.2712664955960165,0.9999999999999999,1.3075394570149803,35.63670204699571,14.394677129956426,0.19576751194462347,0.0,0.0,0.0,529.5901726248018,0.887478703901442,1.0,3.5,axial,circular
76.0,76.0,38.0,2.2,0.0,390.0,57.0,266.0,0.0,0.0,480.0,0.5,34.54545454545454,4026.390808546822,769.4510167631613,35.8,3.2712664955960165,0.9999999999999999,1.3075394570149803,35.63670204699571,14.394677129956426,0.19576751194462347,0.0,0.0,0.0,529.5901726248018,0.9063612295163663,1.0,3.5,axial,circular
76.0,76.0,38.0,2.2,0.0,390.0,57.0,266.0,0.0,0.0,420.0,0.5,34.54545454545454,4026.390808546822,769.4510167631613,35.8,3.2712664955960165,0.9999999999999999,1.3075394570149803,35.63670204699571,14.394677129956426,0.19576751194462347,0.0,0.0,0.0,529.5901726248018,0.7930660758268205,1.0,3.5,axial,circular
76.0,76.0,38.0,2.2,0.0,390.0,57.0,266.0,0.0,0.0,465.0,0.5,34.54545454545454,4026.390808546822,769.4510167631613,35.8,3.2712664955960165,0.9999999999999999,1.3075394570149803,35.63670204699571,14.394677129956426,0.19576751194462347,0.0,0.0,0.0,529.5901726248018,0.8780374410939799,1.0,3.5,axial,circular
101.7,101.7,50.85,2.4,0.0,380.0,57.0,356.0,0.0,0.0,770.0,0.5,42.375,7374.582449018315,1134.8156387964807,48.45,3.5944573112727696,1.0,1.0258801287093386,28.19182204919819,14.330870232836746,0.19679613212629074,0.0,0.0,0.0,851.5811423367066,0.9042003888051688,1.0,3.500491642084562,axial,circular
101.7,101.7,50.85,2.4,0.0,380.0,57.0,356.0,0.0,0.0,775.0,0.5,42.375,7374.582449018315,1134.8156387964807,48.45,3.5944573112727696,1.0,1.0258801287093386,28.19182204919819,14.330870232836746,0.19679613212629074,0.0,0.0,0.0,851.5811423367066,0.9100718199013064,1.0,3.500491642084562,axial,circular
101.7,101.7,50.85,2.4,0.0,380.0,57.0,356.0,0.0,0.0,740.0,0.5,42.375,7374.582449018315,1134.8156387964807,48.45,3.5944573112727696,1.0,1.0258801287093386,28.19182204919819,14.330870232836746,0.19679613212629074,0.0,0.0,0.0,851.5811423367066,0.8689718022283441,1.0,3.500491642084562,axial,circular
101.7,101.7,50.85,2.4,0.0,380.0,57.0,356.0,0.0,0.0,690.0,0.5,42.375,7374.582449018315,1134.8156387964807,48.45,3.5944573112727696,1.0,1.0258801287093386,28.19182204919819,14.330870232836746,0.19679613212629074,0.0,0.0,0.0,851.5811423367066,0.8102574912669696,1.0,3.500491642084562,axial,circular
101.7,101.7,50.85,2.4,0.0,380.0,57.0,356.0,0.0,0.0,775.0,0.5,42.375,7374.582449018315,1134.8156387964807,48.45,3.5944573112727696,1.0,1.0258801287093386,28.19182204919819,14.330870232836746,0.19679613212629074,0.0,0.0,0.0,851.5811423367066,0.9100718199013064,1.0,3.500491642084562,axial,circular
165.0,165.0,82.5,2.82,0.0,363.3,48.3,580.5,0.0,0.0,1661.6,0.5,58.51063829787234,19945.66513819861,2190.171339703076,79.68,4.260786211852263,1.0,0.8259387367659996,19.427003398166757,14.3184944414267,0.19411830995151613,0.0,0.0,0.0,1759.0648738891202,0.944592791695263,1.0,3.518181818181818,axial,circular
190.0,190.0,95.0,1.94,0.0,256.4,41.0,663.5,0.0,0.0,1678.2,0.5,97.93814432989691,27206.706344645736,1757.4694459978527,93.06,2.9586622450399744,1.0,0.4039670831348305,8.15174080838437,14.118201085780393,0.18205938975835304,0.0,0.0,0.0,1566.0901260843248,1.0715858379083087,1.0,3.4921052631578946,axial,circular
190.0,190.0,95.0,1.52,0.0,306.1,48.3,664.5,0.0,0.0,1694.8,0.5,125.0,27452.840075958007,1382.641577310121,93.48,2.3251088570257963,1.0,0.31918210244582856,7.613562485404326,14.108032096508284,0.19787131733721175,0.0,0.0,0.0,1749.1987624833996,0.9689007540765877,1.0,3.4973684210526317,axial,circular
190.0,190.0,95.0,1.13,0.0,185.7,41.0,664.5,0.0,0.0,1376.6,0.5,168.141592920354,27682.385255581525,1031.7887569336401,93.87,1.733375786555058,1.0,0.16881667018141122,3.429081533645193,14.078325365133704,0.18591875917717984,0.0,0.0,0.0,1326.5809676414194,1.0377052238639541,1.0,3.4973684210526317,axial,circular
190.0,190.0,95.0,0.86,0.0,210.7,41.0,659.0,0.0,0.0,1349.9,0.5,220.93023255813955,27841.860980977905,787.3120823300233,94.14,1.3217662696306576,1.0,0.145321320172959,2.958319024975351,13.941119993725563,0.19053770892113214,0.0,0.0,0.0,1307.40295596703,1.0325049318873054,1.0,3.468421052631579,axial,circular
165.0,165.0,82.5,2.82,0.0,363.3,80.2,580.5,0.0,0.0,2295.0,0.5,58.51063829787234,19945.66513819861,2190.171339703076,79.68,4.260786211852263,1.0,0.49741696989772793,19.427003398166757,14.3184944414267,0.21477796055774345,0.0,0.0,0.0,2395.331591797656,0.9581136940951216,1.0,3.518181818181818,axial,circular
