Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-V-W-100,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2098
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-H-100,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2273
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-C,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2254
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-V-W-50,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2223
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-V-50,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2205
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-V-100,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2080
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",75.6,fcy100,HC-3-H-100,435,72.24363246,0,114.3,114.3,3,57.15,343,0,0,1394
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",75.6,fcy100,HC-3-D-100,435,72.24363246,0,114.3,114.3,3,57.15,343,0,0,1263
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",75.6,fcy100,HC-3-V-100,435,72.24363246,0,114.3,114.3,3,57.15,343,0,0,1193
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",75.6,fcy100,HC-3-V-50,435,72.24363246,0,114.3,114.3,3,57.15,343,0,0,1295
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-D-100,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2056
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",42.9,fcy100,NC-6-H-50,348,40.99539461,0,114.3,114.3,6,57.15,343,0,0,2256
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",75.6,fcy100,HC-3-V-W-50,435,72.24363246,0,114.3,114.3,3,57.15,343,0,0,1293
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",75.6,fcy100,HC-3-V-W-100,435,72.24363246,0,114.3,114.3,3,57.15,343,0,0,1180
"Journal of Constructional Steel Research | Research on application of annular concrete-filled steel tube support in deep roadway | Dong Liu, Ren Liang Shan, Hai Long Wang... | 2024",40,fcy150,CFST_Short_Column_Test,350,40,0,194,194,8,97,600,0,0,4100
