b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
175.0,175.0,0.0,6.47,0.0,835.0,38.702,350.0,0.0,0.0,4542.0,0.0,27.047913446676972,26263.443600000002,4194.1128,91.43256390974939,7.030329157234917,0.33333333333333337,3.445414715796127,21.40129145558248,6.909237134888515,0.1031811769881709,0.0,0.0,0.0
175.0,175.0,0.0,6.47,0.0,835.0,73.581,350.0,0.0,0.0,5366.0,0.0,27.047913446676972,26263.443600000002,4194.1128,91.43256390974939,7.030329157234917,0.33333333333333337,1.8122129398994535,21.40129145558248,6.909237134888515,0.10926510555261332,0.0,0.0,0.0
265.0,265.0,0.0,6.47,0.0,835.0,24.272,530.0,0.0,0.0,6546.0,0.0,40.958268933539415,63534.2436,6523.3128,142.20962642904746,7.1222616725850685,0.33333333333333337,3.532167190210281,13.939723223954202,6.919938540791412,0.09963730890589177,0.0,0.0,0.0
264.0,264.0,0.0,6.47,0.0,835.0,39.275,528.0,0.0,0.0,7117.0,0.0,40.80370942812983,63031.1236,6497.4328,141.6454368454997,7.1215852871197285,0.33333333333333337,2.1915784901425974,13.993917599645108,6.919875773180718,0.10299869897227092,0.0,0.0,0.0
265.0,265.0,0.0,6.47,0.0,835.0,39.275,530.0,0.0,0.0,7172.0,0.0,40.958268933539415,63534.2436,6523.3128,142.20962642904746,7.1222616725850685,0.33333333333333337,2.1828838202618446,13.939723223954202,6.919938540791412,0.10299716279643312,0.0,0.0,0.0
265.0,265.0,0.0,6.47,0.0,835.0,76.735,530.0,0.0,0.0,8990.0,0.0,40.958268933539415,63534.2436,6523.3128,142.20962642904746,7.1222616725850685,0.33333333333333337,1.11725760136553,13.939723223954202,6.919938540791412,0.11140061796282019,0.0,0.0,0.0
210.0,210.0,0.0,5.48,0.0,294.0,37.364,420.0,0.0,0.0,3183.0,0.0,38.32116788321168,39616.921599999994,4362.9568,112.2962947093454,6.022047435399642,0.33333333333333326,0.8665510519436666,5.255388436427646,6.918761117523897,0.07535170626284052,0.0,0.0,0.0
211.0,211.0,0.0,5.48,0.0,294.0,87.055,422.0,0.0,0.0,4773.0,0.0,38.503649635036496,40016.001599999996,4384.8768,112.86048429289316,6.0228137348968005,0.33333333333333337,0.37006440536026963,5.229782148445501,6.918850464489075,0.092574379499528,0.0,0.0,0.0
210.0,210.0,0.0,4.5,0.0,277.0,37.364,420.0,0.0,0.0,2713.0,0.0,46.666666666666664,40401.0,3618.0,113.40210629309901,4.968848252026973,0.33333333333333337,0.6639002823373764,4.045694889928835,6.921837670351269,0.07630388268173788,0.0,0.0,0.0
211.0,211.0,0.0,4.5,0.0,277.0,87.055,422.0,0.0,0.0,4371.0,0.0,46.888888888888886,40804.0,3636.0,113.96629587664677,4.969364637799686,0.33333333333333337,0.28353533188021,4.026085063372317,6.921897891849648,0.09510661767790682,0.0,0.0,0.0
211.0,211.0,0.0,8.83,0.0,536.0,37.364,422.0,0.0,0.0,5898.0,0.0,23.89580973952435,37380.3556,6828.7688,109.0804140831232,9.545895629558345,0.33333333333333326,2.620658352426012,15.635559938206805,6.903894084973589,0.08703029905479083,0.0,0.0,0.0
211.0,211.0,0.0,8.83,0.0,536.0,87.055,422.0,0.0,0.0,7008.0,0.0,23.89580973952435,37380.3556,6828.7688,109.0804140831232,9.545895629558345,0.33333333333333326,1.1247863842403711,15.635559938206805,6.903894084973589,0.09757724814679464,0.0,0.0,0.0
204.0,204.0,0.0,5.95,0.0,540.0,37.364,408.0,0.0,0.0,4026.0,0.0,34.285714285714285,36902.409999999996,4571.98,108.38081899952398,6.5178683752330215,0.33333333333333326,1.790564577327284,10.824944103320501,6.916405617563697,0.08837312839061823,0.0,0.0,0.0
204.0,204.0,0.0,5.95,0.0,540.0,87.055,408.0,0.0,0.0,5303.0,0.0,34.285714285714285,36902.409999999996,4571.98,108.38081899952398,6.5178683752330215,0.33333333333333326,0.7685101931796752,10.824944103320501,6.916405617563697,0.10129319307742174,0.0,0.0,0.0
180.0,180.0,0.0,9.45,0.0,825.0,37.364,360.0,0.0,0.0,6803.0,0.0,19.047619047619047,25953.21,6089.579999999999,90.89094190954354,10.10181445402496,0.33333333333333337,5.180800208607574,30.564090507738204,6.889905659731488,0.10295189002280078,0.0,0.0,0.0
180.0,180.0,0.0,9.45,0.0,825.0,87.055,360.0,0.0,0.0,7402.0,0.0,19.047619047619047,25953.21,6089.579999999999,90.89094190954354,10.10181445402496,0.33333333333333337,2.2235990924635387,30.564090507738204,6.889905659731488,0.10978594542603001,0.0,0.0,0.0
180.0,180.0,0.0,6.6,0.0,824.0,37.364,360.0,0.0,0.0,5028.0,0.0,27.272727272727273,27822.240000000005,4403.52,94.10682253576576,7.173866629475185,0.33333333333333337,3.4904524726220525,20.93814222109471,6.909548948134507,0.10241110898806835,0.0,0.0,0.0
180.0,180.0,0.0,6.6,0.0,824.0,87.055,360.0,0.0,0.0,5873.0,0.0,27.272727272727273,27822.240000000005,4403.52,94.10682253576576,7.173866629475185,0.33333333333333337,1.498101960680608,20.93814222109471,6.909548948134507,0.11116068670455478,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,38.0,695.0,0.0,0.0,2733.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,1.4595481509529218,8.952700206674667,13.498764235532803,0.15849213244730515,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,38.0,695.0,0.0,0.0,2680.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,1.4595481509529218,8.952700206674667,13.498764235532803,0.15849213244730515,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,38.0,695.0,0.0,0.0,3488.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,1.6293393057110863,10.00929534842194,12.0160656206597,0.14855217964484682,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,38.0,695.0,0.0,0.0,3452.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,1.6293393057110863,10.00929534842194,12.0160656206597,0.14855217964484682,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,80.5,695.0,0.0,0.0,3543.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,0.6889792513815035,8.952700206674667,13.498764235532803,0.18219693727780614,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,80.5,695.0,0.0,0.0,3549.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,0.6889792513815035,8.952700206674667,13.498764235532803,0.18219693727780614,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,80.5,695.0,0.0,0.0,4921.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,0.7691291132549227,10.00929534842194,12.0160656206597,0.16869891859882508,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,80.5,695.0,0.0,0.0,4973.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,0.7691291132549227,10.00929534842194,12.0160656206597,0.16869891859882508,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,112.1,695.0,0.0,0.0,4199.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,0.4947620850687871,8.952700206674667,13.498764235532803,0.19713714603252222,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,112.1,695.0,0.0,0.0,4153.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,0.4947620850687871,8.952700206674667,13.498764235532803,0.19713714603252222,0.0,0.0,0.0
178.0,178.0,0.0,5.6,0.0,413.0,112.1,695.0,0.0,0.0,4203.0,0.0,31.78571428571429,27822.240000000005,3736.32,94.10682253576576,6.119928592485081,0.33333333333333337,0.4947620850687871,8.952700206674667,13.498764235532803,0.19713714603252222,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,112.1,695.0,0.0,0.0,6060.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,0.5523184087156224,10.00929534842194,12.0160656206597,0.18157027600642478,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,112.1,695.0,0.0,0.0,6298.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,0.5523184087156224,10.00929534842194,12.0160656206597,0.18157027600642478,0.0,0.0,0.0
200.0,200.0,0.0,6.0,0.0,485.0,112.1,695.0,0.0,0.0,6218.0,0.0,33.333333333333336,35344.0,4512.0,106.06764170697818,6.566983625293247,0.33333333333333337,0.5523184087156224,10.00929534842194,12.0160656206597,0.18157027600642478,0.0,0.0,0.0
200.0,100.0,0.0,5.0,0.0,360.0,26.93,2000.0,0.0,0.0,1242.0,0.0,40.0,17100.0,2800.0,73.77736139048902,5.811373585369424,0.33333333333333337,2.1889108214278736,9.452287491732273,69.10861017268398,0.6971711417252865,0.0,0.0,0.0
200.0,100.0,0.0,5.0,0.0,360.0,26.93,2000.0,0.0,0.0,1242.0,0.0,40.0,17100.0,2800.0,73.77736139048902,5.811373585369424,0.33333333333333337,2.1889108214278736,9.452287491732273,69.10861017268398,0.6971711417252865,0.0,0.0,0.0
